exam_code,exam_name,question,option_a,option_b,option_c,option_d,correct_answer,explanation
CLF-C02,AWS Certified Cloud Practitioner,What is the capital of France?,Berlin,Madrid,Paris,Rome,C,"Paris is the capital and largest city of France, known for landmarks like the Eiffel Tower and the Louvre."
CLF-C02,AWS Certified Cloud Practitioner,Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,B,"Mars is called the Red Planet due to iron oxide (rust) in its soil and atmosphere, giving it a distinctive reddish color."
CLF-C02,AWS Certified Cloud Practitioner,Who wrote 'To Kill a Mockingbird'?,Harper Lee,J.K. Rowling,Mark Twain,Ernest Hemingway,A,"Harper Lee wrote this Pulitzer Prize-winning novel in 1960, which became a classic of modern American literature."
CLF-C02,AWS Certified Cloud Practitioner,What is the chemical symbol for Gold?,Au,Ag,Pb,Fe,A,"Au is the chemical symbol for Gold, derived from the Latin word 'aurum'. It is a precious metal with atomic number 79."
CLF-C02,AWS Certified Cloud Practitioner,How many continents are there on Earth?,5,6,7,8,C,"There are seven continents on Earth: Asia, Africa, North America, South America, Antarctica, Europe, and Australia/Oceania."
CLF-C02,AWS Certified Cloud Practitioner,What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,C,"The Pacific Ocean is Earth's largest and deepest ocean, covering approximately 63 million square miles and containing more than half of the Earth's open water."
CLF-C02,AWS Certified Cloud Practitioner,Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,B,"Leonardo da Vinci painted the Mona Lisa between 1503-1519. It is one of the most famous paintings in the world, housed in the Louvre Museum in Paris."
CLF-C02,AWS Certified Cloud Practitioner,What is the main ingredient in guacamole?,Tomato,Avocado,Cucumber,Potato,B,"Avocado is the main ingredient in guacamole, a traditional Mexican dip. The creamy fruit is mashed and mixed with other ingredients like lime, onion, and cilantro."
CLF-C02,AWS Certified Cloud Practitioner,Which gas do plants use for photosynthesis?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,B,"Plants use Carbon Dioxide (CO2) during photosynthesis, combining it with water and sunlight to produce glucose and oxygen."
CLF-C02,AWS Certified Cloud Practitioner,Which of these are noble gases?,Helium,Neon,Oxygen,Carbon,A,B,"Helium and Neon are noble gases, characterized by their low reactivity due to their complete outer shell of electrons."
CLF-C02,AWS Certified Cloud Practitioner,Which programming languages are object-oriented?,Java,Python,HTML,CSS,A,B,"Java and Python are object-oriented programming languages, meaning they use objects containing data and code to structure programs."
CLF-C02,AWS Certified Cloud Practitioner,Which elements are metals?,Gold,Silver,Oxygen,Helium,A,B,"Gold and Silver are metals, characterized by their conductivity, malleability, and lustrous appearance."
CLF-C02,AWS Certified Cloud Practitioner,Which countries are in Scandinavia?,Norway,Sweden,Germany,Spain,A,B,"Norway and Sweden are part of Scandinavia, a region in Northern Europe known for its shared Germanic heritage and similar languages."
